basket_id,entry_date,tracking_date,holding_day,num_stocks_entry,num_stocks_active,basket_entry_sum,basket_current_sum,active_sum,return_pct,stocks_stopped
1,2025-07-10,2025-07-11,1,3,3,3482.820053100586,3476.6900939941406,3476.6900939941406,-0.17600562225395788,0
1,2025-07-10,2025-07-14,2,3,3,3482.820053100586,3506.0698852539062,3506.0698852539062,0.6675576630099541,0
1,2025-07-10,2025-07-15,3,3,3,3482.820053100586,3494.6500091552734,3494.6500091552734,0.33966601415872355,0
1,2025-07-10,2025-07-16,4,3,3,3482.820053100586,3495.0499572753906,3495.0499572753906,0.35114947049638684,0
1,2025-07-10,2025-07-17,5,3,3,3482.820053100586,3497.730010986328,3497.730010986328,0.42810015040738536,0
1,2025-07-10,2025-07-18,6,3,3,3482.820053100586,3494.800018310547,3494.800018310547,0.34397313175269434,0
1,2025-07-10,2025-07-21,7,3,3,3482.820053100586,3528.5299530029297,3528.5299530029297,1.3124393223144113,0
2,2025-07-11,2025-07-14,1,6,6,2752.992202758789,2796.3429107666016,2796.3429107666016,1.5746760184925517,0
4,2025-08-12,2025-08-13,1,1,1,194.80075073242188,195.00949096679688,195.00949096679688,0.10715576484698736,0
4,2025-08-12,2025-08-14,2,1,1,194.80075073242188,194.68148803710935,194.68148803710935,-0.06122291359972608,0
4,2025-08-12,2025-08-18,4,1,1,194.80075073242188,194.6118927001953,194.6118927001953,-0.09694933490578675,0
4,2025-08-12,2025-08-19,5,1,1,194.80075073242188,198.8462677001953,198.8462677001953,2.076746086738832,0
5,2025-09-10,2025-09-11,1,3,3,4557.650146484375,4539.199890136719,4539.199890136719,-0.4048194958950104,0
5,2025-09-10,2025-09-12,2,3,3,4557.650146484375,4593.949951171875,4593.949951171875,0.7964587785550084,0
5,2025-09-10,2025-09-15,3,3,3,4557.650146484375,4611.200012207031,4611.200012207031,1.1749446315874617,0
6,2025-09-12,2025-09-15,1,1,1,194.36000061035156,196.27000427246097,196.27000427246097,0.9827143733851568,0
6,2025-09-12,2025-09-16,2,1,1,194.36000061035156,196.41000366210935,196.41000366210935,1.0547453412842813,0
7,2025-10-10,2025-10-13,1,2,2,1836.550048828125,1878.6500244140625,1878.6500244140625,2.292340228506207,0
