symbol,Date,Open,High,Low,Close,Volume
PAGEIND,2018-01-01,23234.11504892312,23554.53132875029,22711.964173954202,23035.806640625,13293
PAGEIND,2018-01-02,23114.379819903425,23114.379819903425,22064.642599343835,22303.515625,17339
PAGEIND,2018-01-03,22293.050879246366,22740.73919608369,22167.149246967427,22549.283203125,14920
PAGEIND,2018-01-04,22567.145933001815,22745.307611420252,22202.508721399805,22471.8515625,14296
PAGEIND,2018-01-05,22471.21437801152,22624.159694730253,22230.057253415467,22343.166015625,16188
PAGEIND,2018-01-08,22384.419612510872,22524.573845673036,22299.5875873228,22363.771484375,11835
PAGEIND,2018-01-09,22384.41841447537,22489.488133563726,21948.10427155049,22068.158203125,27699
PAGEIND,2018-01-10,22140.615146120872,22140.615146120872,20739.852463069758,20944.099609375,62848
PAGEIND,2018-01-11,21013.030527681978,21233.22011667156,20758.1222483123,21011.431640625,16238
PAGEIND,2018-01-12,21195.761584813652,21195.761584813652,20642.957062804933,20786.35546875,20268
PAGEIND,2018-01-15,20703.763461632683,21150.67566501148,20695.17479571856,20833.044921875,11901
PAGEIND,2018-01-16,20740.354853254823,21013.94658753709,20388.644272185644,20548.716796875,25664
PAGEIND,2018-01-17,20557.028140396218,20702.84628199498,19972.383314919138,20303.71875,15498
PAGEIND,2018-01-18,20442.914513026553,20944.827679606115,20061.28370091195,20279.599609375,22538
PAGEIND,2018-01-19,20303.123142317854,20416.64411479706,20008.927946033706,20146.70703125,11221
PAGEIND,2018-01-22,20237.254270697398,20388.09751224664,20031.774051355933,20117.9765625,8182
PAGEIND,2018-01-23,20244.605493315445,20328.889685788366,19919.43896315759,20116.603515625,10081
PAGEIND,2018-01-24,20091.159318487666,20345.51978244292,19766.174794914776,20186.087890625,23557
PAGEIND,2018-01-25,20236.430016553182,20282.112507899412,19876.95520593862,20059.8671875,12840
PAGEIND,2018-01-29,20089.335028985548,20191.663823020765,19877.77867002818,19986.82421875,10352
PAGEIND,2018-01-30,20086.59065593125,20088.69276423953,19641.64320769661,19792.71484375,6122
PAGEIND,2018-01-31,19798.838541860427,19952.833152586216,19425.109358890626,19606.697265625,10914
PAGEIND,2018-02-01,19647.16937612908,20031.63209589987,19328.669665870184,19455.759765625,17719
PAGEIND,2018-02-02,19369.374602246375,19369.374602246375,17897.484862424728,18321.236328125,21851
PAGEIND,2018-02-05,18181.62619516426,18181.62619516426,17427.774302127462,17503.150390625,29972
PAGEIND,2018-02-06,16719.789994784987,18263.85803255475,16446.608726564184,18063.677734375,43269
PAGEIND,2018-02-07,18263.725142651176,18521.51183359506,17521.796769546687,17679.30859375,20843
PAGEIND,2018-02-08,17569.48300667333,19072.026272652696,17542.073516803324,18915.060546875,40622
