symbol,Date,Open,High,Low,Close,Volume
ALL,2024-05-28,158.00970366446387,158.8557082290789,156.5195873224234,158.30772399902344,1460200
ALL,2024-05-29,157.96162440222247,158.20196526210515,156.62532980804437,157.18292236328125,827900
ALL,2024-05-30,156.91374895808767,158.83647592518176,156.26963718442025,158.60574340820312,1366200
ALL,2024-05-31,159.0988063446712,162.19241801212962,158.82810149423355,161.9507293701172,2329200
ALL,2024-06-03,161.33199389689304,162.13440189320247,157.3102916809938,158.6637420654297,1503800
ALL,2024-06-04,157.74534138684265,159.1278080924629,156.8365897309741,157.98703002929688,1680300
ALL,2024-06-05,158.07402764619997,158.9441155727614,155.4927948252575,157.8710174560547,1181700
ALL,2024-06-06,158.0933332620137,159.06008758502557,156.55619742878486,157.69696044921875,942100
ALL,2024-06-07,158.53807486847063,160.80993907971376,157.71632764751922,159.57249450683594,1351800
ALL,2024-06-10,159.52414657985003,159.58216423814676,157.53263477189327,158.36404418945312,818900
ALL,2024-06-11,158.10304591477816,158.10304591477816,155.83118138208826,156.22755432128906,1111100
ALL,2024-06-12,155.64747410670114,157.87101240138318,154.52603534917412,155.28977966308594,1280700
ALL,2024-06-13,155.2607896177291,155.5604811737544,153.162919222544,155.48313903808594,1188100
ALL,2024-06-14,153.1822557817053,153.98466382987607,151.5484382289302,151.84814453125,1986600
ALL,2024-06-17,152.29285166350397,153.47229346108907,151.45177987808844,153.46263122558594,2557800
ALL,2024-06-18,152.05114741032455,156.45954559416103,151.654774522799,154.7387237548828,1920000
ALL,2024-06-20,158.712074615175,159.0794460227875,154.95140043433275,157.18460083007812,1909800
ALL,2024-06-21,155.69582280627245,155.69582280627245,153.4046044979531,155.17376708984375,2016600
ALL,2024-06-24,155.32846178131683,158.64443777214433,155.21245594832737,157.0106201171875,1301700
ALL,2024-06-25,157.48431582095745,157.61966087264693,155.1157700406394,155.97618103027344,1165000
ALL,2024-06-26,155.56047232126966,155.56047232126966,152.2444966688926,153.09524536132812,1196900
ALL,2024-06-27,153.4336148487132,154.82572895253966,152.64086906939926,154.6903839111328,1222200
ALL,2024-06-28,154.92241716855523,155.6088193920698,153.29827659970968,154.35203552246094,2576300
ALL,2024-07-01,155.97616532864782,156.3628759741919,154.29402196291522,155.2027587890625,1187300
ALL,2024-07-02,153.99432537096405,154.89341477086467,153.00824635365854,154.854736328125,1245800
ALL,2024-07-03,154.5840420807482,155.39612708991658,153.4916195025214,154.13934326171875,701200
ALL,2024-07-05,153.8976609984897,153.8976609984897,152.26384342938772,153.1629180908203,920100
ALL,2024-07-08,153.5979761220626,155.25111823317815,153.12426105581366,154.23602294921875,1278700
ALL,2024-07-09,153.8879819124154,155.5508009155549,153.2692595915847,153.4432830810547,1050900
ALL,2024-07-10,153.9943174105905,155.09641694764085,152.92121932834385,154.65171813964844,1172700
ALL,2024-07-11,154.13934021125786,156.76891363770756,152.78587505709825,156.65289306640625,1085300
ALL,2024-07-12,157.09760665678064,158.79908927064528,156.44022067579988,158.248046875,1097000
ALL,2024-07-15,158.78942199624194,161.66068395766405,158.5960740521787,161.36099243164062,1259900
ALL,2024-07-16,162.48242944375394,163.60385340808136,161.33198927419596,162.23106384277344,1307200
ALL,2024-07-17,163.03349701675916,165.353702182668,163.03349701675916,165.02500915527344,1079000
ALL,2024-07-18,167.73192266611952,173.9481476473175,167.31622526991697,170.8158721923828,2535100
ALL,2024-07-19,171.63760544853946,171.63760544853946,168.2443021080357,168.58267211914062,1239500
ALL,2024-07-22,169.66542397535133,169.86844892205187,168.22495438148647,169.0177001953125,960700
ALL,2024-07-23,168.7083334635696,170.0424594808721,167.62557307358728,167.82859802246094,903500
ALL,2024-07-24,168.81467280057916,170.57417314145624,166.52346926470412,166.6104736328125,1232700
ALL,2024-07-25,167.14218040206381,170.3614745703225,156.8752526097541,159.90118408203125,3802300
ALL,2024-07-26,160.9259562963973,165.48902384410098,160.9259562963973,163.5458526611328,1913700
ALL,2024-07-29,163.8455552120057,165.5857163332786,162.69511494984462,163.60386657714844,1471600
ALL,2024-07-30,164.33861631416886,168.12829249642212,164.33861631416886,167.8189239501953,1172900
ALL,2024-07-31,167.20986981784804,167.83825436106414,165.31502445044458,165.4310302734375,1194200
ALL,2024-08-01,168.69865260199424,174.8568737673284,167.2485209177364,171.48291015625,2443500
ALL,2024-08-02,170.651499036046,173.97713669243043,168.1089301211296,170.9415283203125,1699600
ALL,2024-08-05,170.9705378321578,170.9705378321578,162.76278688351147,163.40084838867188,1922600
ALL,2024-08-06,163.65222411650663,166.49448511552393,163.5845589625565,164.145263671875,2327900
ALL,2024-08-07,164.8026542318022,168.94036264903738,164.49328568585733,164.99600219726562,1155000
ALL,2024-08-08,164.2902632817686,165.87574008320726,163.574859636039,164.85098266601562,1006800
ALL,2024-08-09,164.9959924403479,165.96274696200095,164.48361372399205,165.34402465820312,1000100
ALL,2024-08-12,167.09383259096663,167.27751829340176,164.87029444567636,165.6630401611328,1026100
ALL,2024-08-13,165.8757163878883,167.6642031194726,164.29990204608345,166.2430877685547,1066500
ALL,2024-08-14,170.14880249915274,175.31126830734564,169.9167760942943,174.93423461914062,2231000
ALL,2024-08-15,176.80005183245208,178.18250356281024,171.69558971012685,172.18862915039062,2263300
ALL,2024-08-16,172.60436491118682,174.18984191213724,171.01888791023643,173.6678009033203,1236000
ALL,2024-08-19,173.08772988287265,174.82789104068215,173.08772988287265,174.61520385742188,1039000
ALL,2024-08-20,174.73121642921734,175.12757456940085,173.43575416739975,174.4121856689453,1261500
ALL,2024-08-21,175.52395219511894,176.21035441024796,172.41100139135767,172.89437866210938,1866000
ALL,2024-08-22,173.44545500662542,175.2726207020077,172.42069743958106,175.20494079589844,2559700
ALL,2024-08-23,175.80431234335057,175.83331379833223,173.0587183425607,174.50885009765625,1527500
ALL,2024-08-26,174.45085092185153,177.8924946673736,174.16082161432368,177.00308227539062,1858100
ALL,2024-08-27,177.49614403574745,179.35231103037896,176.92574763125074,178.9849395751953,1204400
ALL,2024-08-28,179.12027313548563,181.36315066316416,178.59823219452764,180.84109497070312,1569700
ALL,2024-08-29,180.58973867472557,182.52324762252456,179.35229412825444,182.0882110595703,1397700
ALL,2024-08-30,182.11737535782999,183.86606329547612,181.49561602304402,183.55519104003906,1430400
ALL,2024-09-03,184.58498794821787,185.8770846427249,183.48718827624222,183.8077850341797,2314600
ALL,2024-09-04,185.27476569852948,185.31361917478617,182.80714747470586,184.4586944580078,1212700
ALL,2024-09-05,184.75010728746884,184.75010728746884,178.59080237657082,180.46578979492188,1723700
ALL,2024-09-06,182.29222790395158,183.06943073442088,179.09599997883424,180.07720947265625,1687600
ALL,2024-09-09,181.10697749191885,183.66202651988579,180.20348986047,181.86474609375,1274300
ALL,2024-09-10,182.3408023609307,182.80711812069853,179.0765623947344,179.60116577148438,1298100
ALL,2024-09-11,179.20285401829238,179.71774771025423,175.92888971456637,179.1348419189453,1765600
ALL,2024-09-12,178.52280641290514,181.0778557522316,177.75532805687735,180.79612731933594,994200
ALL,2024-09-13,182.15622305350973,183.26373229671862,181.30129843632696,182.9334259033203,1058500
ALL,2024-09-16,184.19639666859467,185.847943620776,183.1277407927588,185.1290283203125,994900
ALL,2024-09-17,184.9735643168065,185.73133300900375,182.07849893318343,184.83755493164062,948800
ALL,2024-09-18,184.81816356612592,186.10053584540626,184.03123612157697,185.5662078857422,1235400
ALL,2024-09-19,186.04222722792892,187.01372710901472,181.96193069215096,185.24559020996094,1594900
ALL,2024-09-20,185.6536286936327,187.68405983802322,184.72098230793267,185.5564727783203,4397100
ALL,2024-09-23,186.17821864963523,188.4418149329672,186.01306546465955,187.39259338378906,1712000
ALL,2024-09-24,187.49945096362168,187.49945096362168,185.10955506612467,186.35308837890625,1339700
ALL,2024-09-25,187.09146311791662,187.4703475074205,184.29353850378752,184.58499145507812,1234900
ALL,2024-09-26,183.76890773264154,185.48845172420474,182.64196439459587,183.3123016357422,835700
ALL,2024-09-27,182.64195870486938,184.1186425216887,182.64195870486938,182.99169921875,890700
ALL,2024-09-30,183.61346513151364,184.46838971281446,180.69896568498166,184.24493408203125,1024500
ALL,2024-10-01,183.82720557942832,186.1005117050255,182.64197455861375,184.46839904785156,1142500
ALL,2024-10-02,184.16723707012792,185.43017503924705,183.98264972340425,184.7987060546875,729700
ALL,2024-10-03,184.9055509677505,185.08041380894898,181.72874260412215,182.48651123046875,1295500
ALL,2024-10-04,182.0396160204696,185.35241868563605,181.82588490350287,185.13870239257812,704700
ALL,2024-10-07,184.5363964492802,184.65298651337625,173.94705384705603,176.0843505859375,2924000
ALL,2024-10-08,177.04615298915635,178.668556097138,176.46324710024362,177.65818786621094,1167900
ALL,2024-10-09,176.8518154268646,180.37836441176105,175.87060597458594,179.64002990722656,1003200
ALL,2024-10-10,186.2948045904834,186.2948045904834,179.8246269011155,180.4949493408203,1271600
ALL,2024-10-11,182.25337343930047,183.3025802072147,181.04870831744694,182.9139862060547,1240600
ALL,2024-10-14,182.94310771826008,185.74103162212262,181.64130166673317,185.09983825683594,1200100
ALL,2024-10-15,186.50854210432377,190.28767603023397,185.5370422280084,187.50918579101562,2423500
ALL,2024-10-16,186.72227249704076,190.2876752496224,186.72227249704076,190.07394409179688,1459200
ALL,2024-10-17,191.8712480809444,193.12447654588792,188.07267956119762,189.93795776367188,1918200
ALL,2024-10-18,189.26761258755425,190.1419565446792,188.0046597864425,189.8019256591797,1051600
ALL,2024-10-21,189.393896826542,189.71449356273962,186.93600333960524,187.1497344970703,1163200
ALL,2024-10-22,186.22678965426832,187.62575166763344,184.89583973895472,187.2857208251953,777700
ALL,2024-10-23,186.53766186617736,188.27665472198058,186.01305852312032,187.2857208251953,1166600
ALL,2024-10-24,187.89778769308032,188.91786549030195,186.13937535374862,186.52796936035156,977700
ALL,2024-10-25,186.52795346637,187.61602845127265,182.58366682218798,182.75852966308594,1154000
ALL,2024-10-28,183.61348337875916,184.52669566791863,182.88485844471646,183.8175048828125,1778300
ALL,2024-10-29,183.7494781906457,184.22551844638218,181.14586574844057,181.2527313232422,1207200
ALL,2024-10-30,182.04936161560502,184.35181158370037,182.04936161560502,184.0409393310547,1469100
ALL,2024-10-31,189.44246151454848,189.5396174243766,180.329788622146,181.2041473388672,3914800
ALL,2024-11-01,180.8446872805187,182.1853617884996,178.51309361994504,178.9016876220703,1533700
ALL,2024-11-04,179.90233654489168,179.90233654489168,176.82268377465547,177.17242431640625,1431200
ALL,2024-11-05,177.32787307493535,180.20351926113986,176.074644744027,179.7857666015625,1626500
ALL,2024-11-06,189.62706242198047,189.62706242198047,181.61218847652336,183.40945434570312,2349500
ALL,2024-11-07,184.1963865336463,185.75077747562042,181.53447147733763,185.1193084716797,1282300
ALL,2024-11-08,187.99491591982388,192.90099274303688,186.28508165428528,191.28829956054688,2018600
ALL,2024-11-11,192.34726163535836,195.27147086241126,191.5506246387507,191.89065551757812,1339700
ALL,2024-11-12,191.997525950749,193.54220720158827,190.9677384501895,192.45413208007812,959600
ALL,2024-11-13,192.35697259751996,194.0570973553263,191.37576307390842,191.6769256591797,1128100
ALL,2024-11-14,191.1134533275757,192.26954053088068,189.40361891342474,190.2002410888672,953100
ALL,2024-11-15,190.433415130141,192.76500896769514,190.433415130141,191.26890563964844,1397400
ALL,2024-11-18,191.01629778555156,194.36798416266336,190.78314730638652,194.2708282470703,1108700
ALL,2024-11-19,193.2215845933832,193.81420003356,190.7539817520677,190.99685668945312,1134400
ALL,2024-11-20,192.0655090306807,192.9690115603372,190.54997170239045,191.6671905517578,983200
ALL,2024-11-21,193.95023025134998,197.73907375222421,192.24039584499084,197.6807861328125,2437200
ALL,2024-11-22,197.06873163801012,199.49748103052238,196.44697238648337,197.9916534423828,2346300
ALL,2024-11-25,197.0590377978621,199.3323440250379,196.0292502671198,196.27212524414062,4504400
ALL,2024-11-26,198.5551385573696,202.29540398136544,196.621848573099,201.94566345214844,2010500
ALL,2024-11-27,201.82909390128472,203.89839332609031,200.74101881259247,202.26626586914062,1429600
ALL,2024-11-29,202.8517645992087,203.6714429491974,202.02231860167063,202.3736114501953,698700
ALL,2024-12-02,202.78345697155186,203.2713628936776,199.3193219465176,199.44618225097656,1282900
ALL,2024-12-03,200.31464878014384,200.53908132913492,197.689712607734,198.48011779785156,1277300
ALL,2024-12-04,198.26543891027285,200.85134917322344,197.15301402842556,199.9926300048828,1360900
ALL,2024-12-05,200.77329253489336,201.8857174726697,199.17296166143075,199.29005432128906,1165000
ALL,2024-12-06,198.36303208885388,199.93408976620552,196.66511410603246,198.71432495117188,1050700
ALL,2024-12-09,197.80682856432972,199.47545850561602,194.0889728727765,194.2255859375,2307200
ALL,2024-12-10,194.62567135478184,194.85987156009952,190.08815218834252,190.34185791015625,1667300
ALL,2024-12-11,190.3906371065308,191.32742296736802,186.51666314641145,188.62442016601562,1541400
