symbol,Date,Open,High,Low,Close,Volume
FDX,2024-05-28,236.8660326185118,239.002805463412,236.39652596692994,237.67091369628906,1229800
FDX,2024-05-29,235.56286694616026,236.7031223600324,234.09682844858423,234.86338806152344,1108000
FDX,2024-05-30,235.8599106709354,239.2615089785968,235.24666589086274,239.1465301513672,1084300
FDX,2024-05-31,239.54896748723212,243.69795735862002,237.74755457303735,243.3434295654297,1746900
FDX,2024-06-03,242.78769133157726,243.37219143831064,236.39652618272092,238.22666931152344,1409800
FDX,2024-06-04,237.6325937913013,237.94880020690374,234.04893570205013,235.6682891845703,1253600
FDX,2024-06-05,237.5367733076567,237.95838187059508,234.25016817359528,237.68051147460938,930200
FDX,2024-06-06,237.68051252395207,240.78505809945912,236.9714422448879,239.80770874023438,1171200
FDX,2024-06-07,237.59426643796877,240.8617034088985,236.8181154622451,237.37387084960938,1281900
FDX,2024-06-10,236.67438675268647,243.58298560891023,235.6395334285705,243.11346435546875,1475300
FDX,2024-06-11,241.6187084939877,242.03072575872153,239.45317616204093,241.87741088867188,1176900
FDX,2024-06-12,242.7876794602588,243.66921792517923,237.75715103416664,238.20750427246094,1555900
FDX,2024-06-13,238.72492362023047,239.06987472571316,234.0489229950006,238.20750427246094,1015600
FDX,2024-06-14,236.2432130600603,237.54636012952372,232.7649571025485,236.1282196044922,1245800
FDX,2024-06-17,235.27544104485813,239.99935496062096,234.61429808181998,239.6064910888672,1252200
FDX,2024-06-18,239.74062030408805,241.85823975621108,237.24931964260708,237.7188262939453,1506100
FDX,2024-06-20,238.3607972501487,242.75892736645216,238.08292688350537,241.963623046875,1488600
FDX,2024-06-21,242.40438844020292,245.19274194635165,241.0916647697291,243.05596923828125,3142500
FDX,2024-06-24,244.6938222948815,247.9020705427626,243.88453842178208,247.13133239746094,1897200
FDX,2024-06-25,246.78448706755842,247.4107155046583,243.36429601755225,247.00608825683594,5586700
FDX,2024-06-26,277.88422108655305,286.00599069429296,273.61620078565323,285.3605041503906,11126100
FDX,2024-06-27,282.40275591001716,285.0329505028339,277.8649741503835,284.6668395996094,3989200
FDX,2024-06-28,283.15422460166195,291.353085665221,282.71105166361855,288.8770446777344,4278900
FDX,2024-07-01,287.2199074253609,290.2643726546659,286.34317600221345,287.7594299316406,2469100
FDX,2024-07-02,285.649587681014,290.1970140594962,285.649587681014,287.31634521484375,1834400
FDX,2024-07-03,288.2989990688371,288.54950220218865,281.94995011119903,282.97119140625,1274300
FDX,2024-07-05,282.97117477103905,284.1851152360382,281.3911528119082,283.2505798339844,1480200
FDX,2024-07-08,283.7419443766857,286.9983673356715,282.8844710192526,284.7246398925781,1533000
FDX,2024-07-09,285.1774682639822,285.98675214570744,281.8246955524555,282.02703857421875,1252100
FDX,2024-07-10,282.02703670913144,282.92302642206874,278.87657763842657,282.5472717285156,1466600
FDX,2024-07-11,284.2043554057685,289.9368190144904,283.90569219944246,288.5880126953125,1860000
FDX,2024-07-12,287.6438326978011,290.00426580052635,286.7960031849566,288.0870056152344,1445700
FDX,2024-07-15,289.4743433079655,294.41678102630254,288.12553705972806,293.86761474609375,2068700
FDX,2024-07-16,294.65769254835254,302.36519179178873,294.59024487354617,302.056884765625,2812600
FDX,2024-07-17,299.079833984375,302.2013908295995,296.83503801214164,299.079833984375,1588100
FDX,2024-07-18,297.682845803249,301.7100063667793,294.46496898441586,295.40911865234375,1603000
FDX,2024-07-19,295.40916738871505,297.44203556758765,292.90422429799594,295.1105041503906,1294600
FDX,2024-07-22,295.7752431886626,296.48817736302584,290.3799885726192,296.18951416015625,1414200
FDX,2024-07-23,288.067826131773,292.97171971061863,286.863529199784,289.802001953125,2268400
FDX,2024-07-24,289.8115797317847,289.8115797317847,285.7362292574649,287.37408447265625,1541100
FDX,2024-07-25,287.38374056024963,292.2009273973503,287.113979273443,287.6727600097656,1262600
FDX,2024-07-26,288.88673259522307,291.1315289739171,286.5937467017393,289.1661376953125,1200800
FDX,2024-07-29,289.3395721123688,290.9292381897321,287.1621938404984,288.2894287109375,864900
FDX,2024-07-30,288.9926834649118,291.9215414865817,288.36645501534554,289.8790588378906,1038500
FDX,2024-07-31,290.04280749102014,294.43607953113155,289.8790396036714,291.1989440917969,947400
FDX,2024-08-01,292.1334624565141,294.68656544890257,285.4568489513888,286.9405212402344,1532600
FDX,2024-08-02,282.2678611029983,283.77082088755066,277.20981545066235,281.6127014160156,2252700
FDX,2024-08-05,274.2039469618978,278.6068636213315,269.37714483015,272.7395324707031,2684000
FDX,2024-08-06,274.38697034005145,279.1078373035159,272.23852367234093,275.2829895019531,1424500
FDX,2024-08-07,278.43340567080736,278.43340567080736,266.92996088368454,267.9608459472656,1791000
