symbol,Open,High,Low,Close,Volume,ema_9,ema_10,vol_ma,rsi_daily,rsi_weekly,rsi_monthly,base_score,vol_surge,alpha_score,is_rocket,bullish_htf,signal
ADI,406.25,422.94000244140625,406.25,419.94000244140625,6628900,408.11065961009143,408.1418439638317,4349275.0,59.59339536196712,69.49007773846026,75.98282322921253,70.10783945946255,1.5241390806513728,95.10783945946255,False,True,True
EQIX,1086.93994140625,1088.72998046875,1076.2900390625,1077.6300048828125,1208900,1070.7840401975275,1070.6239385015015,589040.0,56.26555114086329,70.62106265437639,71.92391379530513,68.27110080804526,2.052322422925438,93.27110080804526,False,True,True
CSCO,120.54000091552734,120.7699966430664,117.0999984741211,118.33000183105467,26607200,114.18358924732088,113.340504493919,26766380.0,75.78248289853485,87.21977637177471,87.22669369409138,84.93508460605341,0.994052987366988,84.93508460605341,False,True,True
HON,233.1300048828125,235.9199981689453,230.6199951171875,231.72000122070312,6586800,222.09641849639155,221.59251679062095,4155305.0,66.4285117329461,57.00700951730957,54.89709581697803,58.04734448030426,1.5851543990152348,83.04734448030426,False,True,True
MU,820.5,916.7999877929688,820.2999877929688,895.8800048828125,76560800,761.8360219113969,755.2615943323625,52623555.0,74.85872140872887,81.53653452324724,81.26731470129147,80.09328397156125,1.454877003273534,80.09328397156125,False,True,True
INTC,122.0999984741211,125.62000274658205,117.3499984741211,123.5199966430664,108167300,116.92982445168319,116.28603963286,150132180.0,70.2284455291006,78.5818473784342,86.3320270488574,80.01123887673675,0.7204804459643496,80.01123887673675,False,True,True
BK,139.57000732421875,141.64999389648438,139.47500610351562,141.0500030517578,3905939,137.52397333653533,137.26435942342107,3503275.4,72.2001516795925,72.96870202767101,89.15964348636435,79.29136854153265,1.1149391794890005,79.29136854153265,False,True,True
AMD,484.739990234375,506.9599914550781,480.2300109863281,503.8900146484375,38473800,451.23164974424446,447.79243252785704,41789715.0,77.07048195389727,79.85719582337323,74.43260021992162,77.1300148080974,0.9206523662580613,77.1300148080974,False,True,True
CAT,884.9500122070312,909.5599975585938,878.02001953125,908.5499877929688,2255700,885.2471256353679,884.8501088401556,2593595.0,60.957949653246956,75.65238062884262,85.66571743628401,76.71882915670005,0.8697194434751764,76.71882915670005,False,True,True
LRCX,314.7699890136719,323.9800109863281,309.6499938964844,322.67999267578125,9763600,297.84695879277314,296.55936391946904,9341515.0,68.77158160078436,72.20942107246688,83.49149470600729,76.03468263154654,1.045183784428971,76.03468263154654,False,True,True
TXN,318.42999267578125,326.4200134277344,315.3500061035156,324.8900146484375,8480000,305.6331191656913,304.39026597544716,7457650.0,77.14774489605695,82.07218894744545,68.93781088764322,75.83354891324686,1.1370874202999603,75.83354891324686,False,True,True
ROST,236.2899932861328,236.2899932861328,231.08999633789065,234.67999267578125,3241900,222.96646746415595,222.61746974458208,2929580.0,65.4277101159771,72.21597081163613,82.82139609508266,75.10048878588293,1.1066091385113224,75.10048878588293,False,True,True
SNOW,176.88499450683594,181.27000427246097,174.5500030517578,177.60000610351562,12371900,165.57182174232383,164.59698707277997,7400820.0,69.35892793059817,48.55165637244309,40.898175423942845,49.65171830467401,1.6716931367064731,74.651718304674,False,False,False
QQQ,725.9600219726562,731.1699829101562,724.1599731445312,730.280029296875,34254700,713.4251251236248,712.0823039969681,39422170.0,75.34116394853113,74.76681728066974,73.72027145098522,74.46306828236821,0.8689196967087301,74.46306828236821,False,True,True
U,26.719999313354492,27.67799949645996,26.649999618530273,26.770000457763672,17103200,26.39172481976973,26.412849887852897,11213745.0,55.61406237700466,45.012632136125184,49.849518748123984,49.0676728291006,1.5251996545311133,74.0676728291006,False,False,False
KLAC,1936.7099609375,2022.81005859375,1914.3299560546875,2011.3900146484375,1150300,1862.9320746170092,1857.8403809062079,1079895.0,66.26983950630861,66.08265198475927,85.77692508450704,73.99779872896825,1.0651961533297218,73.99779872896825,False,True,True
ARM,315.7099914550781,325.0,300.0,321.2200012207031,10899800,266.3933778043857,262.579214373867,11888925.0,78.52930553006001,80.19525145094036,65.10257899201122,73.82499328319264,0.9168028227951645,73.82499328319264,False,True,True
SPY,750.010009765625,752.1300048828125,748.3699951171875,750.5900268554688,41123600,741.9000052298503,741.138069248006,47930260.0,71.35875806289685,71.49624588721325,74.18934096044478,72.5459863516426,0.8579882520979439,72.5459863516426,False,True,True
MS,202.8500061035156,203.9199981689453,199.8699951171875,201.7599945068359,5567400,196.94298719447667,196.5326322541906,5222920.0,68.5633104425164,69.71658659702176,75.89569070167735,71.95757300798293,1.0659554425493785,71.95757300798293,False,True,True
AMAT,444.739990234375,456.7799987792969,438.0,454.8900146484375,8044400,431.08794501058804,430.10320782908974,7852855.0,64.36163477443296,70.2124062615035,76.84521974576647,71.69537735779458,1.02439176579728,71.69537735779458,False,True,True
GS,1006.530029296875,1016.5399780273438,987.030029296875,994.52001953125,2080600,971.1493177616521,968.8581919833655,1946665.0,65.60439051737492,69.33809803743058,75.24410733273301,70.95376025154042,1.068802284933463,70.95376025154042,False,True,True
NXPI,320.2900085449219,334.8999938964844,318.0,332.6700134277344,4618900,306.90115540671627,305.3790146726273,4348870.0,73.31655884945775,75.16020454682564,65.11014896859523,70.77145317605991,1.0620919917127898,70.77145317605991,False,True,True
FTNT,132.97999572753906,134.91000366210938,130.60000610351562,133.9600067138672,4820100,126.12277531028035,124.92224273982983,6199320.0,88.22608532744928,79.36715631545178,52.47822496346767,70.38336957705764,0.7775207603414568,70.38336957705764,False,True,True
AAPL,309.55999755859375,311.82000732421875,307.6700134277344,308.3299865722656,48000500,301.7752966615181,300.90948328952203,48726165.0,77.63482154043137,72.33506199959797,64.35450795493907,70.2027922899011,0.9851072827094026,70.2027922899011,False,True,True
GOOGL,384.510009765625,389.260009765625,382.6000061035156,388.8800048828125,27747400,389.0621371395324,388.83685782106954,29512920.0,61.01706241061452,68.03560621776263,76.09900276853152,69.85725607664057,0.940178064386716,69.85725607664057,False,True,False
GOOG,380.9949951171875,385.3900146484375,379.1400146484375,384.8399963378906,16150900,385.3957951673949,385.2068260872721,19363580.0,60.7240058292991,67.63366280927713,75.73759269616534,69.4933033680368,0.8340864654160026,69.4933033680368,False,True,False
SLB,57.20000076293945,58.81999969482422,57.040000915527344,57.97999954223633,13452400,56.81705352412446,56.71544080965075,11643430.0,65.31734301982561,65.79291933443231,74.79794935404166,69.29981607935471,1.1553640121510587,69.29981607935471,False,True,True
FDX,397.2300109863281,403.0299987792969,397.2099914550781,400.0,1243500,386.2281356757773,385.5685310566015,1592285.0,61.85652265425122,67.24492048312857,74.81123608968755,69.19376715997669,0.7809531585111962,69.19376715997669,False,True,True
ASML,1641.8499755859375,1648.010009765625,1604.25,1632.030029296875,1651000,1566.7093710999536,1561.9845638933132,1671955.0,62.12845163848912,69.17590791077198,72.55858291035157,69.11948665614725,0.9874667679453095,69.11948665614725,False,True,True
C,126.25,127.43000030517578,125.26000213623048,126.86000061035156,8966900,124.94864296407528,124.96702477420214,11053960.0,55.5452947797953,60.70982556851577,83.5157687890177,68.79929669897246,0.811193454653355,68.79929669897246,False,True,True
MAR,369.8500061035156,374.5700073242187,368.760009765625,373.80999755859375,1105600,364.23152568834917,363.5805456175014,1345490.0,65.71802042168409,64.61640387025692,74.10324805681603,68.631464855166,0.8217080766114947,68.631464855166,False,True,True
BEN,31.600000381469727,31.719999313354492,31.239999771118164,31.670000076293945,3832000,31.265176888834432,31.226421438698914,5139615.0,64.33510478093257,69.58707354360675,69.17992935782436,68.37382211675896,0.7455811378867873,68.37382211675896,False,True,True
CRWD,665.0,677.5,648.0,671.5499877929688,2079900,622.9958111195119,616.8408950505707,3019150.0,87.43823616014836,72.64274526515321,54.44127699929627,68.32125613780947,0.6889025056721263,68.32125613780947,False,True,True
ADM,77.8499984741211,79.2300033569336,76.8499984741211,78.01000213623047,3308100,78.23098406170357,78.18965852390691,4275430.0,56.891968590770496,63.87309432690479,74.54752417294691,66.74664111809479,0.7737467342466138,66.74664111809479,False,True,False
QCOM,240.72000122070312,258.0,235.8000030517578,248.82000732421875,30646400,218.04873320378817,216.1947383378089,31458915.0,74.09348571526614,74.3565687606434,55.10718591864848,66.60419901476999,0.9741721861672598,66.60419901476999,False,True,True
