symbol,close,prev_close,daily_move_pct,abs_daily_move_pct,volume,dollar_volume,option_expirations,first_expiration,liquidity_rank,move_rank,composite_score
MU,803.6300049,766.5800171,4.833153352,4.833153352,53733828,43182116458,21,5/15/26,1,2,42.89989201
NVDA,225.8300018,220.7799988,2.287346263,2.287346263,142422903,32163364445,23,5/13/26,2,9,31.16563429
TSLA,445.269989,433.4500122,2.726952699,2.726952699,64708180,28812610598,23,5/13/26,3,7,28.3255634
SPY,742.3099976,738.1799927,0.559484804,0.559484804,37500556,27837037633,32,5/13/26,4,17,26.12140026
QQQ,714.710022,707.2399902,1.056223042,1.056223042,37316154,26670229245,31,5/13/26,5,13,25.33861764
AAPL,298.8699951,294.7999878,1.380599557,1.380599557,45313913,13542968957,24,5/13/26,6,12,13.37333906
GOOGL,402.6199951,387.3500061,3.942168265,3.942168265,27498089,11071280459,24,5/13/26,9,4,12.62073202
AMD,445.5,448.2900085,-0.622366881,0.622366881,29021704,12929169132,21,5/15/26,7,15,12.34983091
MSFT,405.2099915,407.769989,-0.627804308,0.627804308,27753784,11246110577,24,5/13/26,8,14,10.79406043
AMZN,270.1300049,265.8200073,1.621396975,1.621396975,37657434,10172402830,24,5/13/26,10,11,10.39563046
